path,system_scope,is_product_runtime,boundary,role,loc,functions,classes,cli_entrypoint,disposition,boundary_basis
scripts/e2e/check_product_grade_ci_gates.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,198,4,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_grade_fleet_dispatch.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,607,16,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_grade_gate_reconciliation.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,445,8,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_product_release_gate.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,464,2,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_release_fleet_dispatch_status.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,208,8,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_release_gate_registry.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,688,16,1,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/check_remote_staging_proof.py,development_delivery_tooling,false,build_ci_release_tooling,release_gate,154,5,1,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/generate_external_proof_handback_skeleton.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,199,5,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/generate_product_e2e_receipt.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,118,1,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/product_e2e_receipt.py,development_delivery_tooling,false,build_ci_release_tooling,release_library,1314,28,1,false,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/record_playwright_results.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,112,3,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/run_python_e2e_tests.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,123,4,1,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/seed_product_e2e_data.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,277,7,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/sync_external_proof_escalation_comments.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,192,8,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
scripts/e2e/sync_external_proof_fleet_issues.py,development_delivery_tooling,false,build_ci_release_tooling,release_operation,310,16,0,true,retain_tool_consolidation_candidate,"build, CI, release evidence or developer command"
